Country,Variable,Measure,Year,Value
Albania,Maritime port infrastructure investment,Constant Euro,2013,1108940.8913838
Albania,Maritime port infrastructure investment,Constant Euro,2014,2182491.1278954
Albania,Maritime port infrastructure investment,Constant Euro,2015,5843410.7916784
Albania,Maritime port infrastructure investment,Constant Euro,2016,2542418.3752715
Albania,Maritime port infrastructure investment,Constant Euro,2017,0.0
Albania,Maritime port infrastructure investment,Constant Euro,2018,135664.38330202
Albania,Maritime port infrastructure investment,Constant Euro,2019,874439.37373428
Albania,Maritime port infrastructure investment,Constant Euro,2020,258423.57264128
Albania,Maritime port infrastructure investment,Constant Euro,2021,324722.33718391
Albania,Airport infrastructure investment,Constant Euro,2000,1246915.6877394
Albania,Airport infrastructure investment,Constant Euro,2001,1878493.8670171
Albania,Airport infrastructure investment,Constant Euro,2003,6187172.5234219
Albania,Airport infrastructure investment,Constant Euro,2004,6381572.2270872
Albania,Airport infrastructure investment,Constant Euro,2005,6298784.2630601
Albania,Airport infrastructure investment,Constant Euro,2006,1293746.4030836
Albania,Airport infrastructure investment,Constant Euro,2007,1643732.8452662
Albania,Airport infrastructure investment,Constant Euro,2008,110572.23568241
Albania,Airport infrastructure investment,Constant Euro,2009,0.0
Albania,Airport infrastructure investment,Constant Euro,2010,0.0
Albania,Airport infrastructure investment,Constant Euro,2011,0.0
Albania,Airport infrastructure investment,Constant Euro,2012,0.0
Albania,Airport infrastructure investment,Constant Euro,2013,0.0
Albania,Airport infrastructure investment,Constant Euro,2014,0.0
Albania,Airport infrastructure investment,Constant Euro,2015,0.0
Albania,Airport infrastructure investment,Constant Euro,2016,0.0
Albania,Airport infrastructure investment,Constant Euro,2017,0.0
Albania,Airport infrastructure investment,Constant Euro,2018,0.0
Albania,Airport infrastructure investment,Constant Euro,2019,0.0
Albania,Airport infrastructure investment,Constant Euro,2020,243770.32686975
Albania,Airport infrastructure investment,Constant Euro,2021,644794.92685878
Armenia,Total inland transport infrastructure investment,National currency,2008,33554600000.0
Armenia,Total inland transport infrastructure investment,National currency,2009,69704000000.0
Armenia,Total inland transport infrastructure investment,National currency,2010,39271400000.0
Armenia,Total inland transport infrastructure investment,National currency,2011,29500000000.0
Armenia,Total inland transport infrastructure investment,National currency,2012,26013600000.0
Armenia,Total inland transport infrastructure investment,National currency,2013,18961900000.0
Armenia,Total inland transport infrastructure investment,National currency,2014,43510000000.0
Armenia,Total inland transport infrastructure investment,National currency,2015,47782900000.0
Armenia,Total inland transport infrastructure investment,National currency,2016,51074700000.0
Armenia,Rail infrastructure investment,National currency,2008,10944600000.0
Armenia,Rail infrastructure investment,National currency,2009,26988100000.0
Armenia,Rail infrastructure investment,National currency,2010,21149400000.0
Armenia,Rail infrastructure investment,National currency,2011,13672700000.0
Armenia,Rail infrastructure investment,National currency,2012,12330500000.0
Armenia,Rail infrastructure investment,National currency,2013,6349300000.0
Armenia,Rail infrastructure investment,National currency,2014,6635000000.0
Armenia,Rail infrastructure investment,National currency,2015,6567700000.0
Armenia,Rail infrastructure investment,National currency,2016,2997700000.0
Armenia,Road infrastructure investment,National currency,2001,682000000.0
Armenia,Road infrastructure investment,National currency,2002,450000000.0
Armenia,Road infrastructure investment,National currency,2003,273500000.0
Armenia,Road infrastructure investment,National currency,2004,2599900000.0
Armenia,Road infrastructure investment,National currency,2005,11319400000.0
Armenia,Road infrastructure investment,National currency,2006,12067200000.0
Armenia,Road infrastructure investment,National currency,2007,13599000000.0
Armenia,Road infrastructure investment,National currency,2008,22610000000.0
Armenia,Road infrastructure investment,National currency,2009,42715900000.0
Armenia,Road infrastructure investment,National currency,2010,18122000000.0
Armenia,Road infrastructure investment,National currency,2011,15827300000.0
Armenia,Road infrastructure investment,National currency,2012,13683100000.0
Armenia,Road infrastructure investment,National currency,2013,12612600000.0
Armenia,Road infrastructure investment,National currency,2014,36875000000.0
Armenia,Road infrastructure investment,National currency,2015,41215200000.0
Armenia,Road infrastructure investment,National currency,2016,48077000000.0
Armenia,Inland waterway infrastucture investment,National currency,2000,
Armenia,Inland waterway infrastucture investment,National currency,2001,
Armenia,Inland waterway infrastucture investment,National currency,2002,
Armenia,Inland waterway infrastucture investment,National currency,2003,
Armenia,Inland waterway infrastucture investment,National currency,2004,
Armenia,Inland waterway infrastucture investment,National currency,2005,
Armenia,Inland waterway infrastucture investment,National currency,2006,
Armenia,Inland waterway infrastucture investment,National currency,2007,
Armenia,Inland waterway infrastucture investment,National currency,2008,
Armenia,Inland waterway infrastucture investment,National currency,2009,
Armenia,Inland waterway infrastucture investment,National currency,2010,
Armenia,Inland waterway infrastucture investment,National currency,2011,
Armenia,Inland waterway infrastucture investment,National currency,2012,
Armenia,Inland waterway infrastucture investment,National currency,2013,
Armenia,Inland waterway infrastucture investment,National currency,2014,
Armenia,Inland waterway infrastucture investment,National currency,2015,
