"COUNTRY","Country","VARIABLE","Variable","MEASURE","Measure","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ALB","Albania","I-CPV-SEA","Maritime port infrastructure capital value","EUR_CONST","Constant Euro","2012","2012","EUR","Euro","0","Units",,,102561909.50828,,
"ALB","Albania","I-CPV-SEA","Maritime port infrastructure capital value","EUR_CONST","Constant Euro","2013","2013","EUR","Euro","0","Units",,,100315945.18096,,
"ALB","Albania","I-CPV-SEA","Maritime port infrastructure capital value","EUR_CONST","Constant Euro","2014","2014","EUR","Euro","0","Units",,,98147487.531111,,
"ALB","Albania","I-CPV-SEA","Maritime port infrastructure capital value","EUR_CONST","Constant Euro","2015","2015","EUR","Euro","0","Units",,,99756995.766215,,
"ALB","Albania","I-CPV-SEA","Maritime port infrastructure capital value","EUR_CONST","Constant Euro","2016","2016","EUR","Euro","0","Units",,,96421503.190549,,
"ALB","Albania","I-CPV-SEA","Maritime port infrastructure capital value","EUR_CONST","Constant Euro","2017","2017","EUR","Euro","0","Units",,,96469147.804293,,
"ALB","Albania","I-CPV-SEA","Maritime port infrastructure capital value","EUR_CONST","Constant Euro","2018","2018","EUR","Euro","0","Units",,,91467470.92941,,
"ALB","Albania","I-CPV-SEA","Maritime port infrastructure capital value","EUR_CONST","Constant Euro","2019","2019","EUR","Euro","0","Units",,,97841867.75878,,
"ALB","Albania","I-CPV-SEA","Maritime port infrastructure capital value","EUR_CONST","Constant Euro","2020","2020","EUR","Euro","0","Units",,,100464187.30722,,
"ALB","Albania","I-CPV-SEA","Maritime port infrastructure capital value","EUR_CONST","Constant Euro","2021","2021","EUR","Euro","0","Units",,,74748318.425377,"P","Provisional value"
"ARM","Armenia","I-CPV-TOT-INLD","Total inland transport infrastructure capital value","NAT","National currency","2008","2008","AMD","Armenian Dram","0","Units",,,23538000000,,
"ARM","Armenia","I-CPV-TOT-INLD","Total inland transport infrastructure capital value","NAT","National currency","2009","2009","AMD","Armenian Dram","0","Units",,,38966900000,,
"ARM","Armenia","I-CPV-TOT-INLD","Total inland transport infrastructure capital value","NAT","National currency","2010","2010","AMD","Armenian Dram","0","Units",,,23675600000,,
"ARM","Armenia","I-CPV-TOT-INLD","Total inland transport infrastructure capital value","NAT","National currency","2011","2011","AMD","Armenian Dram","0","Units",,,141268200000,,
"ARM","Armenia","I-CPV-TOT-INLD","Total inland transport infrastructure capital value","NAT","National currency","2012","2012","AMD","Armenian Dram","0","Units",,,17308600000,,
"ARM","Armenia","I-CPV-TOT-INLD","Total inland transport infrastructure capital value","NAT","National currency","2013","2013","AMD","Armenian Dram","0","Units",,,10306100000,,
"ARM","Armenia","I-CPV-TOT-INLD","Total inland transport infrastructure capital value","NAT","National currency","2014","2014","AMD","Armenian Dram","0","Units",,,19886800000,,
