Country,Variable,Measure,Year,Value
Belgium,Road infrastructure maintenance,Constant Euro,2010,200654307.5
Belgium,Maritime port infrastructure maintenance,Constant Euro,2004,162759046.1
Belgium,Maritime port infrastructure maintenance,Constant Euro,2002,167458642.3
Belgium,Maritime port infrastructure maintenance,Constant Euro,2001,170465432.1
Belgium,Maritime port infrastructure maintenance,Constant Euro,2000,171033599.0
Belgium,Inland waterway infrastucture maintenance,Constant Euro,2021,80895008.61
Belgium,Inland waterway infrastucture maintenance,Constant Euro,2020,50045495.91
Belgium,Inland waterway infrastucture maintenance,Constant Euro,2019,56429232.19
Belgium,Inland waterway infrastucture maintenance,Constant Euro,2018,56872037.91
Belgium,Inland waterway infrastucture maintenance,Constant Euro,2017,84995140.91
Belgium,Inland waterway infrastucture maintenance,Constant Euro,2016,101377952.8
Belgium,Inland waterway infrastucture maintenance,Constant Euro,2015,82000000.0
Belgium,Maritime port infrastructure maintenance,Constant Euro,2003,166742479.2
Belgium,Total inland transport infrastructure investment,Constant Euro,2003,1663576888.9474
Belgium,Road infrastructure maintenance,Constant Euro,2017,385614188.5
Belgium,Inland waterway infrastucture investment,Constant Euro,2016,221456692.91339
Belgium,Road infrastructure investment,Constant Euro,2012,569515962.92482
Belgium,Road infrastructure investment,Constant Euro,2013,603288797.5334
Belgium,Road infrastructure investment,Constant Euro,2014,423780487.80488
Belgium,Road infrastructure investment,Constant Euro,2015,778000000.0
Belgium,Road infrastructure investment,Constant Euro,2016,797244094.48819
Belgium,Road infrastructure investment,Constant Euro,2017,637420796.89018
Belgium,Road infrastructure investment,Constant Euro,2018,645497630.33175
Belgium,Road infrastructure investment,Constant Euro,2019,679925994.44958
Belgium,Road infrastructure investment,Constant Euro,2020,552320291.17379
Belgium,Road infrastructure investment,Constant Euro,2021,1128227194.4923
Belgium,Road infrastructure investment,Constant Euro,2011,260230849.94753
Belgium,Inland waterway infrastucture investment,Constant Euro,2000,201527961.5842
Belgium,Inland waterway infrastucture investment,Constant Euro,2002,197085940.61048
Belgium,Inland waterway infrastucture investment,Constant Euro,2003,196243071.71084
Belgium,Inland waterway infrastucture investment,Constant Euro,2005,189885825.09126
Belgium,Inland waterway infrastucture investment,Constant Euro,2006,188001652.5926
Belgium,Inland waterway infrastucture investment,Constant Euro,2007,197736929.17554
Belgium,Inland waterway infrastucture investment,Constant Euro,2008,202876360.03956
Belgium,Inland waterway infrastucture investment,Constant Euro,2009,205016357.68811
Belgium,Inland waterway infrastucture investment,Constant Euro,2010,167938931.29771
Belgium,Inland waterway infrastucture investment,Constant Euro,2011,159496327.3872
Belgium,Inland waterway infrastucture investment,Constant Euro,2012,156539649.84552
Belgium,Inland waterway infrastucture investment,Constant Euro,2001,200624700.79991
Belgium,Inland waterway infrastucture investment,Constant Euro,2013,171634121.27441
Belgium,Road infrastructure investment,Constant Euro,2010,379498364.23119
Belgium,Road infrastructure investment,Constant Euro,2008,168344213.64985
Belgium,Rail infrastructure investment,Constant Euro,2008,1060639539.1821
Belgium,Rail infrastructure investment,Constant Euro,2009,1531422334.7052
Belgium,Rail infrastructure investment,Constant Euro,2010,1501054605.0358
Belgium,Rail infrastructure investment,Constant Euro,2011,1358936309.155
Belgium,Rail infrastructure investment,Constant Euro,2012,1373256055.3682
Belgium,Rail infrastructure investment,Constant Euro,2013,1234106984.7444
Belgium,Rail infrastructure investment,Constant Euro,2014,1125994469.9797
Belgium,Rail infrastructure investment,Constant Euro,2015,1005993899.6279
Belgium,Rail infrastructure investment,Constant Euro,2016,943979988.76969
Belgium,Rail infrastructure investment,Constant Euro,2017,855199222.54616
Belgium,Road infrastructure investment,Constant Euro,2009,190839694.65649
Belgium,Rail infrastructure investment,Constant Euro,2018,877725118.48341
Belgium,Rail infrastructure investment,Constant Euro,2020,917426956.32393
